report,group
core_dataset_overview.csv,core
core_column_profile_summary.csv,core
core_missing_values.csv,core
core_duplicate_rows.csv,core
core_numeric_summary.csv,core
core_top_categories_-_txn_id.csv,core
core_top_categories_-_account_no.csv,core
core_top_categories_-_channel.csv,core
core_top_categories_-_status.csv,core
core_top_categories_-_utr.csv,core
advanced_pareto_summary.csv,advanced
advanced_skewness.csv,advanced
advanced_mean_vs_median.csv,advanced
advanced_distribution_-_amount.csv,advanced
time_trend__d__-_txn_date.csv,time
time_trend__m__-_txn_date.csv,time
time_period-over-period__m__-_txn_date.csv,time
time_trend__d__-_amount.csv,time
time_trend__m__-_amount.csv,time
time_period-over-period__m__-_amount.csv,time
quality_outlier_summary.csv,quality
quality_robust_outliers__mad_.csv,quality
quality_label_variants.csv,quality
quality_numeric_drift.csv,quality
quality_category_drift.csv,quality
quality_time_series_spikes.csv,quality
rows_rows_with_most_missing_values.csv,rows
rows_extreme_numeric_rows.csv,rows
rows_rare_pattern_rows.csv,rows
